,name,details
0,"有限会社　アース企画
代表者: 相場　広秀","〒010-0063
秋田市牛島西２丁目３－１６
TEL: 018-832-2103"
1,"有限会社　アーテック
代表者: 佐々木　洋","〒010-0035
秋田市楢山城南町４－２４
TEL: 018-832-9393"
2,"ＩＳＳ不動産事務所
代表者: 佐々木　益子","〒013-0043
横手市安田字八王寺１８１グランデール四番館１０２号室
TEL: 0182-33-1690"
3,"株式会社　アイセス
代表者: 齊藤　徹","〒018-1512
南秋田郡井川町北川尻字下田面替場１１－１
TEL: 018-874-3252"
4,"アイディアライフ　株式会社
代表者: 口澤　一紀","〒010-0041
秋田市広面字昼寝６７－１
TEL: 018-834-1315
HP: http//www.idea-life.co.jp
Mail: info@idea-life.co.jp"
5,"有限会社　愛和不動産
代表者: 松田　信直","〒010-1644
秋田市新屋田尻沢中町１５－５
TEL: 018-838-0454"
6,"株式会社　秋田中央開発
代表者: 松山　政行","〒010-0904
秋田市保戸野原の町９番５７号保戸野ビル３０１
TEL: 018-823-3600"
7,"秋田フォレストホーム　株式会社
代表者: 三浦　正義","〒010-0916
秋田市泉北４丁目２－１０道田ビル２A
TEL: 018-866-7780"
8,"株式会社　アキタ・ランドシステム
代表者: 藤澤　敏夫","〒010-0065
秋田市茨島２丁目８－９
TEL: 018-866-7781"
9,"株式会社　アクサム
代表者: 武野　智","〒014-0047
大仙市大曲須和町２丁目６番７号
TEL: 0187-62-1081"
10,"アクネス不動産
代表者: 下間　俊悦","〒010-0341
男鹿市船越字杉山２５－２０
TEL: 0185-22-6607"
11,"ア．クリア　株式会社
代表者: 若村　大輔","〒010-0062
秋田市牛島東６丁目５－２
TEL: 018-874-7532"
12,"アスエステート　株式会社
代表者: 岩渕　俊佑","〒010-0951
秋田市山王２丁目２－１７山王ピアレス１０４号
TEL: 018-893-4965
HP: http:/www.as-estate.co.jp/
Mail: s.iwabuchi@as-estate.co.jp"
13,"株式会社　アスキーハウス
代表者: 石成　公一","〒010-1421
秋田市仁井田本町６丁目５－１０
TEL: 018-874-7009
HP: http://www.askiihouse.co.jp/"
14,"飯田川都市開発　株式会社
代表者: 出澤　英樹","〒018-1504
潟上市飯田川飯塚字古開９０番地７
TEL: 018-877-6100"
