,name,details
0,"株式会社　アットオフィス
神奈川支店横浜営業所
代表者: 谷　正男","〒231-0005
横浜市中区本町６丁目５２番地本町アンバービル７階
TEL: 045-900-0300"
1,"株式会社　アットマール
代表者: 大森　雅巳","〒231-0862
横浜市中区山手町１３－４
TEL: 045-567-0823"
2,"有限会社アットライフ
代表者: 菅野　裕介","〒247-0056
鎌倉市大船２丁目２－１７
TEL: 0467-44-1467"
3,"有限会社アットワン
代表者: 成岡　瑞将","〒252-0303
相模原市南区相模大野５丁目１３－７
TEL: 042-767-2177"
4,"株式会社　アップドラフト
代表者: 太田　直子","〒216-0004
川崎市宮前区鷺沼１丁目１１－８鷺沼ハイム１０２号室
TEL: 044-877-0055
HP: http://updraft-s.jp/
Mail: info@s-updraft.com"
5,"株式会社　アップルアドバイザーズ
不動産コンサルティング相模大野支店
代表者: 松野　龍俊","〒252-0303
相模原市南区相模大野７丁目１１－２リプロ相模大野４階
TEL: 042-705-4671"
6,"株式会社　アップルハウス
代表者: 大津　宗則","〒238-0017
横須賀市上町１丁目１
TEL: 046-825-8400
HP: www.applehouse.co.jp
Mail: info@applehouse.co.jp"
7,"株式会社　アーキテクト・ディベロッパー
横浜支店
代表者: 井村　航","〒220-0005
横浜市西区南幸２丁目２０－５東伸２４ビル１階
TEL: 045-328-3244"
8,"株式会社　アーキテクト・ディベロッパー
川崎支店
代表者: 井村　航","〒210-0006
川崎市川崎区砂子１丁目２－４川崎砂子ビルディング４階
TEL: 044-230-0140"
9,"株式会社　アーキテクト・ディベロッパー
藤沢支店
代表者: 井村　航","〒251-0055
藤沢市南藤沢１７－１５三井住友海上藤沢ビル１階
TEL: 0466-29-3230"
10,"株式会社Ａｒｃｈｉｔｅｃｔ横濱
代表者: 小野　優","〒226-0021
横浜市緑区北八朔町１５９６－４
TEL: 045-507-5421
HP: http://www.a-tect.biz
Mail: info@a-tect.biz"
11,"株式会社　アーキフィオーレ
代表者: 大和久　明男","〒252-0023
座間市立野台２丁目２５－２１フレンドポート座間第二３０３号
TEL: 046-240-6906"
12,"株式会社　アーキプロジェクト
代表者: 田尻　竜也","〒246-0022
横浜市瀬谷区三ツ境１０２－１４エクセルアイキ１０１
TEL: 045-752-8103"
13,"株式会社アーキワールド
代表者: 本庄　満","〒252-0226
相模原市中央区陽光台１丁目７－１７－２０２号
TEL: 042-711-7557"
14,"株式会社　アーク
代表者: 本田　綾香","〒252-0231
相模原市中央区相模原３丁目５－４－５０３
TEL: 042-704-8896"
15,"株式会社　アーク
代表者: 鈴木　佑司","〒220-0073
横浜市西区岡野２丁目２－２０
TEL: 045-620-3500"
16,"株式会社アーク都市開発
代表者: 柿内　将隆","〒221-0842
横浜市神奈川区泉町１７－９
TEL: 045-324-4444
HP: https://ark-toshi.co.jp/"
17,"アークパートナーズ　株式会社
代表者: 荒金　恭弘","〒255-0003
中郡大磯町大磯６０３－７
TEL: 0463-61-3057"
18,"有限会社アークプランニング
代表者: 柴村 孝昭","〒222-0033
横浜市港北区新横浜２丁目１４－８
TEL: 045-474-5322"
19,"有限会社　アークホーム
代表者: 吉原　真人","〒250-0874
小田原市鴨宮３４９－３
TEL: 0465-47-4044"
20,"株式会社アークホーム
代表者: 笹野　浩二","〒252-0132
相模原市緑区橋本台２丁目１－５
TEL: 042-775-0518
HP: http://www.arkhome.ne.jp/
Mail: arkhome@nifty.com"
21,"株式会社　アークラス
代表者: 瀨戸川　巌","〒222-0034
横浜市港北区岸根町５４０－４－１Ｂ
TEL: 045-594-7656
HP: www.arclass.co.jp
Mail: info@arclass.co.jp"
22,"株式会社　アークリー
代表者: 島村　信生","〒222-0033
横浜市港北区新横浜２丁目１２－１６遠藤ビル９Ｆ
TEL: 045-474-5933"
23,"有限会社アークリアルエステート
代表者: 相原　幹男","〒213-0001
川崎市高津区溝口２丁目２５－１１
TEL: 044-571-1928"
24,"株式会社　アークル
代表者: 吉川　直美","〒220-0043
横浜市西区御所山町７３番地８
TEL: 045-264-9728"
25,"アース　株式会社
代表者: 下平 勇","〒251-0044
藤沢市辻堂太平台２丁目１１－５
TEL: 0466-27-5522"
26,"アースエステート　株式会社
代表者: 古川　貴誉人","〒216-0004
川崎市宮前区鷺沼４丁目１７－４-302
TEL: 044-789-8010
HP: https://earthestate.net/
Mail: info@earthestate.net"
27,"株式会社　アース住販
代表者: 加藤　達哉","〒244-0801
横浜市戸塚区品濃町５４２－６東戸塚東口ビルディング
TEL: 045-829-0021"
28,"株式会社　アースドリームス
代表者: 大野　太士","〒225-0013
横浜市青葉区荏田町３５３－１－Ａ９０６
TEL: 045-912-6861"
29,"株式会社アース・ビルド・プランニング
代表者: 塩谷　孝光","〒252-0232
相模原市中央区矢部１丁目１９－１３ＥＢＰビル
TEL: 042-750-9575"
30,"株式会社　アースリアルエステート
代表者: 白石　大介","〒241-0802
横浜市旭区上川井町１９２－１
TEL: 045-744-6521"
31,"有限会社　アースワーク
代表者: 清水　幸雄","〒223-0062
横浜市港北区日吉本町１丁目３７－６
TEL: 045-517-2595
HP: https://earthworkjapan.com
Mail: earthwork.japan@gmail.com"
32,"合同会社　アーチ・アンド・ドリーム
代表者: 比嘉　恵美","〒220-0004
横浜市西区北幸２丁目５－１３西口幸ビル４０５
TEL: 045-314-8455"
33,"Ａｒｔ　Ｃｏｄｅ　株式会社
代表者: 杉本　和弘","〒213-0034
川崎市高津区上作延８６０－２１
TEL: 044-982-3213
HP: www.artcode.co.jp
Mail: info@artcode.co.jp"
34,"株式会社　アートデザイン
代表者: 守屋　勇次","〒251-0861
藤沢市大庭５１４４－４
TEL: 0466-53-7135"
35,"アート・ホーム・サービス
代表者: 藤澤　文衛","〒257-0003
秦野市南矢名１丁目５－１２
TEL: 0463-76-1113"
36,"アートポイント　株式会社
代表者: 長谷川　潔","〒244-0801
横浜市戸塚区品濃町５４３－７ユウトビル３０２
TEL: 045-443-8407
HP: http://artpoint2017.com/"
37,"株式会社　アーバスデザイン
代表者: 佐野　太一","〒251-0053
藤沢市本町４丁目８－３５藤沢本町ビル２０１
TEL: 0466-60-1334
HP: https://www.urbax-design.com/
Mail: daihyou@urbax-design.com"
38,"株式会社アーバンエステート
代表者: 高橋 政雄","〒252-0303
相模原市南区相模大野５丁目２７－４０
TEL: 042-740-9555"
39,"有限会社　アーバン企画
代表者: 原田 安健","〒243-0405
海老名市国分南１丁目１１―９
TEL: 046-234-6111"
40,"株式会社　アーバングラフィック
代表者: 大出　博司","〒252-0206
相模原市中央区淵野辺４丁目３２－１１
TEL: 042-756-3554"
41,"株式会社アーバントランスポート
代表者: 伊藤　明美","〒232-0022
横浜市南区高根町４丁目２１－７
TEL: 045-900-7887"
42,"株式会社アーバンネット
代表者: 平原　徳弥","〒240-0004
横浜市保土ケ谷区岩間町１丁目９－１
TEL: 045-340-2211"
43,"有限会社アーバンハウス
代表者: 月出　正弘","〒232-0016
横浜市南区宮元町１丁目２１
TEL: 045-711-7251
Mail: suteki@urban-house.jp"
44,"株式会社　アーバンホーム横浜
代表者: 金田　康伸","〒236-0014
横浜市金沢区寺前２丁目６－１３
TEL: 045-781-7524"
45,"アーバンリプロ株式会社
代表者: 佐々木　徹","〒244-0801
横浜市戸塚区品濃町５５１－４－１０３ネオポリストキワⅠ
TEL: 045-822-6888"
46,"株式会社　アーリス
代表者: 山田　裕","〒251-0046
藤沢市辻堂西海岸２丁目１０－６－１２階
TEL: 0466-37-1711"
47,"株式会社　ＲＥＩ
代表者: 加藤　太一","〒251-0033
藤沢市片瀬山１丁目１－１２
TEL: 0466-21-6002"
48,"有限会社　アール・イー企画事務所
代表者: 益川 信昭","〒231-0045
横浜市中区伊勢佐木町６丁目１４３
TEL: 045-232-7120"
49,"アールイーコンサル
代表者: 有元　正人","〒232-0051
横浜市南区井土ケ谷上町４０－２
TEL: 045-315-7240"
50,"株式会社　アール・イー・コントロール
代表者: 佐藤　国広","〒244-0002
横浜市戸塚区矢部町１６２５番地アーク矢部１号室
TEL: 045-869-0515"
51,"株式会社　Ｒ．ＡＧＥＮＴ
代表者: 小泉　修","〒220-0073
横浜市西区岡野１丁目１３－１０瑞穂横浜ビル３階
TEL: 045-326-4505"
52,"株式会社アール・エコ
代表者: 寺山　文博","〒252-0231
相模原市中央区相模原４丁目６－１５オリエンス１０２
TEL: 042-794-7365"
53,"ＲＳＤ不動産
代表者: 保坂　仁司","〒247-0007
横浜市栄区小菅ケ谷１丁目５－２－５２４
TEL: 045-900-1737"
54,"株式会社　アールシーコア
ＢＥＳＳ藤沢営業所
代表者: 二木　浩三","〒251-0861
藤沢市大庭５２２４－１１Ｆ２Ｆ
TEL: 0466-88-0080"
55,"株式会社アールズ
代表者: 萩原　衛人","〒222-0036
横浜市港北区小机町９６２－３
TEL: 045-620-5955"
56,"有限会社　Ｒ＇ｓプランニング
代表者: 角津　亮一","〒234-0056
横浜市港南区野庭町１７０２－２
TEL: 045-342-8927"
57,"株式会社　アールディーエム
代表者: 籔　健一","〒240-0064
横浜市保土ケ谷区峰岡町１丁目９４－１３
TEL: 045-489-4311"
58,"Ｒｗｏｒｋｓ　株式会社
代表者: 一戸　良介","〒220-0012
横浜市西区みなとみらい３丁目７番１号オーシャンゲートみなとみらい
TEL: 045-900-5341"
59,"アイアンタウン　株式会社
代表者: 陶山　浩碧","〒227-0062
横浜市青葉区青葉台２丁目１０－１０林建物２F
TEL: 045-567-0831"
60,"株式会社　アイイーホーム
代表者: 田中　秀正","〒242-0021
大和市中央７丁目１－３
TEL: 046-283-7066"
61,"株式会社　ＩＶＣ
代表者: 安藤　順子","〒231-0006
横浜市中区南仲通１丁目１３番地アールケープラザ横浜関内３０１
TEL: 045-263-6677"
62,"株式会社　ＩＶＣ
横浜支店
代表者: 安藤　順子","〒231-0006
横浜市中区南仲通１丁目１３番地３０１号
TEL: 045-263-6677"
63,"株式会社　アイ．エステート
代表者: 飯島　重善","〒221-0812
横浜市神奈川区平川町１ー４TK１０２
TEL: 045-620-3107"
64,"株式会社　ＩＮＡ
代表者: 稲　圭介","〒227-0062
横浜市青葉区青葉台１丁目１３－１０アノンテラス青葉台２０１
TEL: 045-530-4717"
65,"ＩＮＡ＆Ａｓｓｏｃｉａｔｅｓ　株式会社
首都圏営業所
代表者: 稲澤　大輔","〒227-0067
横浜市青葉区松風台１３－１１
TEL: 06-6476-8991"
66,"株式会社　ＩＭＡ
代表者: 島田　沙織","〒211-0014
川崎市中原区田尻町２９－１ライオンズプラザ平間駅前５０４号
TEL: 044-567-3140"
67,"ＩＭＤｉ　株式会社
代表者: 田島　重徳","〒251-0042
藤沢市辻堂新町２丁目１３－１５
TEL: 0466-33-8752"
68,"有限会社アイオール
代表者: 市原　志津夫","〒243-0402
海老名市柏ケ谷７１０番地５
TEL: 046-200-7657"
69,"株式会社相生ハウジング
代表者: 小島　秀二","〒241-0826
横浜市旭区東希望が丘３７－９
TEL: 045-365-4221
HP: http://www.aioihousing.jp
Mail: info@aioihousing.jp"
70,"株式会社　アイカワ
代表者: 小島　一夫","〒243-0014
厚木市旭町５丁目４７－７
TEL: 046-223-7177"
71,"株式会社アイキャン
代表者: 岩田　拓也","〒221-0835
横浜市神奈川区鶴屋町３丁目３５－９
TEL: 045-324-6006
HP: http://www.ican-r.com
Mail: info@ican-r.com"
72,"株式会社　アイケー企画
代表者: 石川 忠彦","〒252-0344
相模原市南区古淵１丁目１５―１０
TEL: 042-776-9664
HP: http://ik-kkk.co.jp
Mail: endo@ik-kkk.co.jp"
73,"株式会社アイ建設
代表者: 坂本　繁美","〒244-0805
横浜市戸塚区川上町８７－４Ｎ＆Ｆビル１－１Ｆ
TEL: 045-820-4021
HP: https://www.aikensetsu.jp/"
74,"株式会社　アイコーホーム
代表者: 鳥羽　悟","〒243-0303
愛甲郡愛川町中津７４９１－２
TEL: 046-286-3471"
75,"株式会社アイ・コーポレーション
代表者: 澤田　吉晧","〒252-0807
藤沢市下土棚４７０－１サンライズ長後２０１
TEL: 0466-46-4172"
76,"株式会社　アイ・コーポレーション
新杉田店
代表者: 髙橋　健一朗","〒235-0033
横浜市磯子区杉田４丁目２－２６
TEL: 045-772-1101"
77,"株式会社　アイ・コーポレーション
金沢店
代表者: 髙橋　健一朗","〒236-0038
横浜市金沢区六浦南２丁目３－１３武田ビル２０２号
TEL: 045-352-7081"
78,"ＩＣＩ　ＰＡＲＴＮＥＲＳ　株式会社
代表者: 石井　允人","〒252-0251
相模原市中央区大野台３丁目５番８号
TEL: 042-705-3339"
79,"株式会社　アイシティホーム
代表者: 竹内　晶生","〒221-0021
横浜市神奈川区子安通１丁目１－１８－２階
TEL: 045-451-1155"
80,"有限会社　アイジー開発
代表者: 岩橋　幸城","〒231-0004
横浜市中区元浜町３丁目２１－２ヘリオス関内ビル
TEL: 045-222-8232
HP: https://www.zennichi.net/m/igdevelopment/index.asp"
81,"株式会社　アイズ
代表者: 小林　良樹","〒252-0232
相模原市中央区矢部１丁目１－１２コーマス西門２０３号
TEL: 042-707-8886"
82,"有限会社アイズホーム
代表者: 清水　貴成","〒230-0073
横浜市鶴見区獅子ケ谷３丁目１－７
TEL: 045-582-9222
HP: https://www.ishome.yokohama/
Mail: info@ishome.yokohama"
83,"株式会社　愛知建設
イオン相模原店
代表者: 豊藏　恵美","〒229-0004
相模原市南区古淵２丁目１０－１イオン相模原ショッピングセンター１階
TEL: 042-730-3712"
84,"アイティーホーム　株式会社
代表者: 石井　稔大","〒243-0815
厚木市妻田西１丁目２０－８Ｋ２ビル１０１号
TEL: 046-297-7353"
85,"アイデック　株式会社
代表者: 柴田　祐一","〒224-0037
横浜市都筑区茅ケ崎南２丁目２３－１４
TEL: 045-523-6002"
86,"株式会社　アイデアル
代表者: 松村　雄介","〒231-0035
横浜市中区千歳町１－２横浜TSビル３１４号室
TEL: 045-717-7666"
87,"アイ・ネット不動産　株式会社
代表者: 池田　美樹","〒221-0802
横浜市神奈川区六角橋５丁目１０－１０
TEL: 045-481-3203"
88,"アイビットホーム　株式会社
代表者: 井上　純子","〒222-0037
横浜市港北区大倉山３丁目１３－７
TEL: 045-710-0789"
89,"株式会社　アイビー住販
代表者: 井上 裕貴","〒222-0011
横浜市港北区菊名５丁目１－６アイビービル
TEL: 045-421-2103"
90,"株式会社　アイビーホーム
代表者: 福田　隆之","〒221-0841
横浜市神奈川区松本町１丁目１－４
TEL: 045-324-2111"
91,"株式会社　アイプランニング
代表者: 富田　慎","〒245-0053
横浜市戸塚区上矢部町２５０１－３４
TEL: 045-410-9911"
92,"株式会社アイベックトラスト
代表者: 橘川　英希","〒221-0844
横浜市神奈川区沢渡２－３
TEL: 045-316-2260"
93,"株式会社アイベックトラスト
日吉支店
代表者: 橘川　英希","〒223-0061
横浜市港北区日吉２丁目２－２１
TEL: 045-561-0809"
94,"株式会社　アイベスト
代表者: 荒巻　一郎","〒221-0061
横浜市神奈川区七島町１２７－３８
TEL: 045-438-3730"
95,"有限会社アイホーム
代表者: 井上　恵太","〒252-0801
藤沢市長後６４７－７
TEL: 0466-65-6631"
96,"株式会社　アイホーム
代表者: 芳賀　慎一","〒259-0303
足柄下郡湯河原町土肥５丁目１－１８
TEL: 0465-60-4224"
97,"有限会社アイポス
代表者: 名古屋　幸江","〒216-0003
川崎市宮前区有馬１丁目２２－２５
TEL: 044-852-3975
HP: http://ipos.jp/
Mail: info@ipos.jp"
98,"株式会社　アイムズ
代表者: 加藤　卓","〒245-0061
横浜市戸塚区汲沢１丁目１－１２
TEL: 045-864-2444"
99,"ｉ　Ｍｏｔｔｏ　株式会社
みなとみらい店
代表者: 楠本　祥一","〒220-0012
横浜市西区みなとみらい３丁目７－１オーシャンゲートみなとみらい１０階
TEL: 045-315-4082"
100,"株式会社　アイ・ラック
代表者: 長尾　重幸","〒232-0014
横浜市南区吉野町３丁目７－４ＳＩＣビル３階
TEL: 045-325-9700
HP: http://www.ai-luck.co.jp/"
101,"株式会社アイルイン
代表者: 中山　美緒","〒222-0011
横浜市港北区菊名７丁目１２－７
TEL: 045-543-5057"
102,"株式会社　アイルＫプランニング
代表者: 板倉　保","〒224-0041
横浜市都筑区仲町台３丁目4-1アーバンキューブ仲町台1F
TEL: 045-530-0782"
103,"アイルホーム　株式会社
代表者: 大村　兼一","〒224-0037
横浜市都筑区茅ケ崎南３丁目６－３
TEL: 045-532-6622"
104,"株式会社アイロード不動産
代表者: 伊藤　征洋","〒252-0334
相模原市南区若松３丁目９－１
TEL: 042-705-6385"
105,"アイワ株式会社
代表者: 服部　規子","〒254-0052
平塚市平塚２丁目４４－１２
TEL: 0463-37-6560"
106,"アイワ　株式会社
代表者: 小野　修一","〒242-0001
大和市下鶴間１７９９－８
TEL: 046-205-0088"
107,"ＩＹホームズ有限会社
代表者: 今関　祐孝","〒252-0001
座間市相模が丘５丁目１１－３６
TEL: 042-702-6770"
108,"株式会社　アイワコーポレーション
代表者: 舘　雄二郎","〒210-0024
川崎市川崎区日進町２５－８クレッセント川崎センティア１５０８
TEL: 044-589-5471"
109,"有限会社　アヴァンス
代表者: 望月　文博","〒232-0061
横浜市南区大岡２丁目１３－１７
TEL: 045-730-6145
Mail: info@avance-net.co.jp"
110,"株式会社　アエラス
川崎店
代表者: 小野満　洋","〒210-0007
川崎市川崎区駅前本町１１－１パシフィックマークス川崎８階
TEL: 044-221-4180"
111,"株式会社　アエラス
登戸店
代表者: 小野満　洋","〒214-0014
川崎市多摩区登戸３４１８－５ＡＫＩＢＡビル２階
TEL: 044-299-6285"
112,"株式会社　アエラス
藤沢店
代表者: 小野満　洋","〒251-0055
藤沢市南藤沢３－４　ＭＩＮＡＭＩＦＵＪＩＳＡＷＡＬＩＬＡＳ　ＢＬＤ　２階
TEL: 0466-21-9491"
113,"株式会社　アエラス
橋本店
代表者: 小野満　洋","〒252-0143
相模原市緑区橋本３丁目２９－９フェイスビル２階
TEL: 042-703-3881"
114,"株式会社　アオイデザイン
代表者: 青山　茂生","〒225-0004
横浜市青葉区元石川町６３８８－１
TEL: 045-294-6877"
115,"株式会社　あおぞらコンサルティング
代表者: 小松　優子","〒231-0014
横浜市中区常盤町３丁目２５
TEL: 045-228-8033"
116,"アオゾラデザイン　株式会社
代表者: 干場　大輔","〒250-0875
小田原市南鴨宮２丁目３２－３２－３０２
TEL: 0465-46-7783"
117,"あおぞら不動産　株式会社
代表者: 安藤　茂樹","〒252-0231
相模原市中央区相模原６丁目４－２０長谷川ビル２０１
TEL: 042-866-4476"
118,"株式会社　青葉建築土木
代表者: 清川　敬","〒232-0014
横浜市南区吉野町１丁目２－２０１ベイサイトコート横浜
TEL: 045-341-0671"
